date,date_de,main_1,main_2,main_3,main_4,main_5,euro_1,euro_2
2024-04-30,30.04.2024,20,33,45,37,4,9,8
2024-04-26,26.04.2024,47,29,18,3,23,5,12
2024-04-23,23.04.2024,35,6,2,3,15,1,3
2024-04-19,19.04.2024,21,14,8,36,34,2,1
2024-04-16,16.04.2024,48,36,37,35,41,12,1
2024-04-12,12.04.2024,1,39,49,34,47,1,12
2024-04-09,09.04.2024,27,7,43,21,1,1,3
2024-04-05,05.04.2024,16,30,5,37,8,10,1
2024-04-02,02.04.2024,45,14,32,29,17,2,1
2024-03-29,29.03.2024,7,39,11,31,30,5,10
2024-03-26,26.03.2024,17,15,30,12,32,1,6
2024-03-22,22.03.2024,37,50,17,5,36,7,3
2024-03-19,19.03.2024,1,32,49,20,28,3,10
2024-03-15,15.03.2024,16,49,30,25,20,3,10
2024-03-12,12.03.2024,8,2,11,16,20,10,4
2024-03-08,08.03.2024,2,49,11,23,17,12,4
2024-03-05,05.03.2024,30,40,2,31,20,12,8
2024-03-01,01.03.2024,41,26,30,34,13,7,3
2024-02-27,27.02.2024,38,17,30,49,15,11,1
2024-02-23,23.02.2024,22,19,41,10,37,2,6
2024-02-20,20.02.2024,15,1,30,3,11,4,10
2024-02-16,16.02.2024,17,18,11,7,34,5,3
2024-02-13,13.02.2024,20,45,48,7,22,10,12
2024-02-09,09.02.2024,4,20,11,10,22,10,7
2024-02-06,06.02.2024,20,26,44,19,16,1,4
2024-02-02,02.02.2024,17,30,21,13,39,11,8
2024-01-30,30.01.2024,46,15,12,48,10,11,9
2024-01-26,26.01.2024,35,37,23,18,41,6,7
2024-01-23,23.01.2024,32,18,9,20,39,8,5
2024-01-19,19.01.2024,33,10,12,18,47,7,10
2024-01-16,16.01.2024,19,32,6,42,39,9,4
2024-01-12,12.01.2024,31,3,43,34,45,9,6
2024-01-09,09.01.2024,47,41,9,26,12,10,7
2024-01-05,05.01.2024,32,45,11,30,47,10,3
2024-01-02,02.01.2024,48,19,26,49,36,11,10
2023-12-29,29.12.2023,21,48,40,2,34,6,2
2023-12-26,26.12.2023,27,16,13,22,4,10,1
2023-12-22,22.12.2023,6,4,12,38,31,2,12
2023-12-19,19.12.2023,17,45,31,6,4,6,12
2023-12-15,15.12.2023,17,7,15,18,39,10,1
2023-12-12,12.12.2023,20,40,8,34,2,9,12
2023-12-08,08.12.2023,37,2,8,32,28,3,6
2023-12-05,05.12.2023,49,26,16,11,6,2,9
2023-12-01,01.12.2023,23,32,38,45,49,1,9
2023-11-28,28.11.2023,36,13,23,11,12,8,3
2023-11-24,24.11.2023,16,39,34,27,33,7,2
2023-11-21,21.11.2023,22,38,21,9,20,3,12
2023-11-17,17.11.2023,14,28,4,20,15,9,7
2023-11-14,14.11.2023,30,9,48,38,34,2,3
2023-11-10,10.11.2023,29,17,1,22,31,5,6
2023-11-07,07.11.2023,26,43,49,47,36,4,7
2023-11-03,03.11.2023,6,21,39,23,31,1,5
2023-10-31,31.10.2023,34,48,21,6,15,1,5
2023-10-27,27.10.2023,20,15,13,40,6,2,8
2023-10-24,24.10.2023,14,40,35,5,47,3,1
2023-10-20,20.10.2023,34,16,11,46,22,5,2
2023-10-17,17.10.2023,6,42,8,49,50,5,3
2023-10-13,13.10.2023,16,23,41,30,37,2,9
2023-10-10,10.10.2023,12,7,43,21,8,4,11
2023-10-06,06.10.2023,18,40,17,43,50,9,11
2023-10-03,03.10.2023,28,29,31,47,13,9,8
2023-09-29,29.09.2023,24,14,48,45,29,9,3
2023-09-26,26.09.2023,23,38,24,44,42,10,1
2023-09-22,22.09.2023,44,45,31,14,24,7,11
2023-09-19,19.09.2023,39,38,8,26,18,4,12
2023-09-15,15.09.2023,8,36,31,10,3,3,2
2023-09-12,12.09.2023,50,5,45,43,13,10,1
2023-09-08,08.09.2023,31,21,49,46,29,6,5
2023-09-05,05.09.2023,15,13,11,9,25,4,9
2023-09-01,01.09.2023,27,1,23,13,16,10,11
2023-08-29,29.08.2023,39,20,42,14,18,9,6
2023-08-25,25.08.2023,11,27,5,2,38,12,10
2023-08-22,22.08.2023,46,8,47,41,40,11,3
2023-08-18,18.08.2023,2,16,28,22,46,8,4
2023-08-15,15.08.2023,41,23,21,12,26,5,6
2023-08-11,11.08.2023,35,38,36,1,39,3,10
2023-08-08,08.08.2023,25,37,6,12,31,9,6
2023-08-04,04.08.2023,19,38,3,32,17,7,6
2023-08-01,01.08.2023,2,44,38,9,40,11,5
2023-07-28,28.07.2023,10,16,49,34,36,3,7
2023-07-25,25.07.2023,9,39,11,20,3,2,3
2023-07-21,21.07.2023,16,38,22,41,7,5,9
2023-07-18,18.07.2023,40,16,43,24,14,1,5
2023-07-14,14.07.2023,50,2,31,12,4,8,6
2023-07-11,11.07.2023,15,46,17,11,24,2,11
2023-07-07,07.07.2023,41,40,20,18,9,9,3
2023-07-04,04.07.2023,36,23,39,21,19,12,5
2023-06-30,30.06.2023,14,3,43,41,23,6,2
2023-06-27,27.06.2023,7,10,47,13,34,5,9
2023-06-23,23.06.2023,2,23,18,39,3,8,6
2023-06-20,20.06.2023,18,34,30,48,9,7,1
2023-06-16,16.06.2023,36,19,42,33,5,7,12
2023-06-13,13.06.2023,47,29,32,46,11,5,7
2023-06-09,09.06.2023,13,46,8,24,35,8,6
2023-06-06,06.06.2023,22,7,29,21,5,10,3
2023-06-02,02.06.2023,8,9,50,13,11,11,6
2023-05-30,30.05.2023,8,2,16,21,39,4,5
2023-05-26,26.05.2023,47,1,3,29,45,5,8
2023-05-23,23.05.2023,1,36,2,11,14,2,3
2023-05-19,19.05.2023,5,1,35,20,8,12,3
2023-05-16,16.05.2023,30,46,28,45,31,4,8
2023-05-12,12.05.2023,34,10,32,27,30,5,8
2023-05-09,09.05.2023,34,11,39,6,29,2,3
2023-05-05,05.05.2023,30,33,18,17,35,8,6
2023-05-02,02.05.2023,23,11,12,26,13,12,11
2023-04-28,28.04.2023,4,35,30,8,9,6,7
2023-04-25,25.04.2023,24,40,21,12,28,3,1
2023-04-21,21.04.2023,41,13,16,45,5,3,6
2023-04-18,18.04.2023,35,28,42,16,31,2,10
2023-04-14,14.04.2023,7,11,21,20,29,6,11
2023-04-11,11.04.2023,37,5,42,19,33,9,7
2023-04-07,07.04.2023,16,32,28,48,36,10,5
2023-04-04,04.04.2023,15,1,24,33,19,7,8
2023-03-31,31.03.2023,37,11,31,44,10,12,5
2023-03-28,28.03.2023,6,12,44,37,36,1,11
2023-03-24,24.03.2023,43,6,21,26,23,9,3
2023-03-21,21.03.2023,13,47,44,8,16,6,8
2023-03-17,17.03.2023,5,29,21,18,45,1,6
2023-03-14,14.03.2023,48,34,16,32,9,6,2
2023-03-10,10.03.2023,17,39,22,46,6,12,5
2023-03-07,07.03.2023,4,12,11,42,16,3,5
2023-03-03,03.03.2023,48,1,37,46,18,7,3
2023-02-28,28.02.2023,38,27,6,49,20,9,3
2023-02-24,24.02.2023,1,5,18,20,12,7,6
2023-02-21,21.02.2023,34,20,38,43,13,6,3
2023-02-17,17.02.2023,21,5,12,15,39,3,4
2023-02-14,14.02.2023,6,14,45,1,2,2,7
2023-02-10,10.02.2023,42,10,20,36,3,8,10
2023-02-07,07.02.2023,37,10,15,46,25,7,12
2023-02-03,03.02.2023,1,44,17,7,50,10,2
2023-01-31,31.01.2023,43,20,30,41,21,11,10
2023-01-27,27.01.2023,4,29,34,9,37,3,12
2023-01-24,24.01.2023,9,31,27,17,16,1,9
2023-01-20,20.01.2023,12,31,47,15,1,10,9
2023-01-17,17.01.2023,16,6,35,11,44,6,2
2023-01-13,13.01.2023,7,41,34,49,14,9,4
2023-01-10,10.01.2023,27,41,9,45,16,4,1
2023-01-06,06.01.2023,47,50,28,14,31,7,12
2023-01-03,03.01.2023,37,28,31,29,50,4,5
2022-12-30,30.12.2022,3,47,50,37,45,5,10
2022-12-27,27.12.2022,34,44,28,33,37,4,11
2022-12-23,23.12.2022,9,44,34,35,42,11,6
2022-12-20,20.12.2022,6,11,43,49,26,5,8
2022-12-16,16.12.2022,47,20,9,14,15,8,12
2022-12-13,13.12.2022,36,33,3,13,47,11,3
2022-12-09,09.12.2022,13,6,32,21,8,3,6
2022-12-06,06.12.2022,47,12,37,8,44,10,7
2022-12-02,02.12.2022,49,48,25,12,6,11,12
2022-11-29,29.11.2022,32,46,37,9,16,7,12
2022-11-25,25.11.2022,8,48,6,42,4,6,11
2022-11-22,22.11.2022,23,20,11,37,46,9,11
2022-11-18,18.11.2022,28,13,14,25,42,12,11
2022-11-15,15.11.2022,7,1,48,33,11,9,12
2022-11-11,11.11.2022,28,11,15,24,41,12,3
2022-11-08,08.11.2022,38,17,35,23,15,9,4
2022-11-04,04.11.2022,40,9,7,48,49,7,8
2022-11-01,01.11.2022,39,44,32,18,42,7,4
2022-10-28,28.10.2022,21,30,4,5,43,5,11
2022-10-25,25.10.2022,17,39,26,37,35,4,3
2022-10-21,21.10.2022,2,11,49,47,18,2,7
2022-10-18,18.10.2022,50,34,18,13,24,6,5
2022-10-14,14.10.2022,10,44,5,8,3,12,7
2022-10-11,11.10.2022,36,47,39,7,35,8,3
2022-10-07,07.10.2022,30,16,17,35,26,3,9
2022-10-04,04.10.2022,48,49,17,42,43,3,7
2022-09-30,30.09.2022,17,15,8,12,46,8,1
2022-09-27,27.09.2022,44,31,26,15,23,1,8
2022-09-23,23.09.2022,39,20,38,30,44,12,2
2022-09-20,20.09.2022,36,2,40,13,22,3,5
